Year,Location,Genus,Feeding Type,d15N,d13C,molar cn
2012,AN,Alcyonidium,Su/FF,9.712738215,-22.89653846,5.519963956
2013,AN,Alcyonidium,Su/FF,10.6445,-23.43753846,5.40056429
2013,AN,Alcyonidium,Su/FF,11.3855,-22.23353846,5.694774197
2011,JA,Alcyonidium,Su/FF,8.891102154,-22.79653846,3.091180611
2012,JA,Alcyonidium,Su/FF,10.55443761,-22.47453846,5.324832867
2013,JA,Alcyonidium,Su/FF,10.1635,-21.90553846,4.59741393
2013,JA,Alcyonidium,Su/FF,10.6855,-19.03553846,15.90642771
2013,JA,Alcyonidium,Su/FF,10.5575,-23.745,5.273323478
2013,KA,Alcyonidium,Su/FF,10.86983513,-27.48753846,4.964671126
2013,KA,Alcyonidium,Su/FF,11.3165,-21.88253846,5.651135826
2011,NU,Alcyonidium,Su/FF,9.681514463,-24.66353846,6.070144113
2012,NU,Alcyonidium,Su/FF,9.578525091,-22.16653846,5.437816049
2013,JA,Ampharete,Ss/De,7.4735,-22.53055448,5.714456063
2013,KA,Ampharete,Ss/De,8.8165,-20.30373344,5.451074164
2013,KA,Anser,Ep/Om,8.458262682,-17.5641,6.721104572
,KA,Atylus,Ep/Om,9.14,-21.55,
2013,KA,Atylus,Ep/Om,9.5525,-21.37353846,5.883737683
2012,KA,Balaena,Mam/Carn,12.76,-21.69,4.6
2015,KA,Balaena,Mam/Carn,13.05553854,-21.19445713,4.222344197
2015,KA,Balaena,Mam/Carn,13.38620377,-20.21142226,4.710218136
2011,KA,Boreogadus (Lagoon),Fish,10.76746667,-23.50953846,5.460563828
2012,KA,Boreogadus (Lagoon),Fish,12.24314509,-23.75053846,4.144894934
2012,KA,Boreogadus (Lagoon),Fish,12.13561621,-23.74653846,4.313004284
2013,KA,Boreogadus (Lagoon),Fish,11.1265,-25.31753846,5.419224707
2011,DE,Boreogadus (Lagoon),Fish,13.43012847,-23.3301,4.643836691
2011,DE,Boreogadus (Lagoon),Fish,12.26938529,-22.1031,4.216980046
2011,DP,Boreogadus (Shelf),Fish,12.16533975,-24.5021,4.436658882
2011,DP,Boreogadus (Shelf),Fish,13.27681109,-23.0431,4.571042108
2012,HU,Boreogadus (Shelf),Fish,11.80511341,-24.8611,5.223240012
2011,AN,Calanus,Su/FF,13.172,-23.16053846,4.448893657
2011,BE,Calanus,Su/FF,9.955027978,-25.9671,9.46088786
2011,HU,Calanus,Su/FF,10.4125392,-23.5971,3.959938582
2011,JA,Calanus,Su/FF,8.641999275,-22.34853846,5.566331401
2011,JA,Calanus,Su/FF,11.24422941,-23.6461,5.538283373
2013,AN,Cistenides,Ss/De,8.9415,-20.17653846,6.705884856
2012,KA,Coregonus,Ep/Om,12.469,-21.376,4.218237705
2012,KA,Coregonus,Ep/Om,13.059,-22.835,4.824890976
2014,KA,Coregonus,Ep/Om,13.51045704,-21.38350839,3.993256346
2014,KA,Coregonus,Ep/Om,13.81965088,-22.05100723,3.993711849
2012,AN,Cylichna,Ss/De,11.0328308,-19.00753846,5.728337341
2013,AN,Cylichna,Ss/De,12.39550122,-16.57553846,5.626451789
2013,AN,Cylichna,Ss/De,12.2635678,-17.60853846,5.682786245
2011,KA,Cylichna,Ss/De,12.018,-21.23653846,4.160858981
2012,KA,Cylichna,Ss/De,10.155,-17.571,5.827205882
2012,KA,Cylichna,Ss/De,8.702,-17.438,5.996166951
2012,KA,Cylichna,Ss/De,10.071,-16.499,6.046079524
2013,KA,Cylichna,Ss/De,10.25371923,-17.52753846,7.474395535
2013,KA,Cylichna,Ss/De,9.497,-15.366,6.498655398
2013,KA,Cylichna,Ss/De,11.351,-18.36,5.95163728
2013,KA,Cylichna,Ss/De,10.935,-18.113,6.144209354
2013,KA,Cylichna,Ss/De,10.265,-17.283,5.339479905
2013,KA,Cylichna,Ss/De,10.366,-16.841,5.601493234
2011,NU,Cylichna,Ss/De,8.925,-15.54753846,6.327150712
2012,KA,Delphinapterus,Mam/Carn,19.53,-24.27,
2012,KA,Delphinapterus,Mam/Carn,21.28,-19.13,6.1
2013,KA,Delphinapterus,Mam/Carn,16.71985374,-20.2871,4.012503701
2014,KA,Delphinapterus,Mam/Carn,16.83547561,-19.9741,3.670403959
2015,KA,Delphinapterus,Mam/Carn,16.62927346,-20.25583449,4.080764509
2016,KA,Delphinapterus,Mam/Carn,17.05,-19.31,3.83
2016,KA,Delphinapterus,Mam/Carn,16.91,-19.21,3.88
2013,KA,Diastylis,Ep/Om,12.0875,-21.70453846,5.656955673
2013,KA,Diastylis,Ep/Om,12.7445,-21.49853846,5.462195389
2012,KA,Eleginus,Ep/Om,14.35544023,-18.82520314,3.690226331
2014,KA,Eleginus,Ep/Om,15.75198344,-18.67867032,3.81734097
2014,KA,Eleginus,Ep/Om,15.5836979,-19.0918194,3.702844632
2013,KA,Erignathus,Mam/Carn,17.285,-19.131,4.226453587
2011,DE,Eucratea,Su/FF,13.36682006,-24.5561,5.53383128
2013,JA,Eucratea,Su/FF,7.525362655,-22.6771,5.567124629
2012,KA,Eucratea,Su/FF,7.09,-25.3,
2013,KA,Eucratea,Su/FF,10.01211096,-19.2541,6.252035573
2011,NU,Eucratea,Su/FF,8.02756707,-26.5641,4.983090048
2012,JA,Gammaracanthus,Ep/Om,11.28703341,-20.40453846,5.74942186
2013,AN,Gammarus,Ep/Om,9.293194609,-19.8691,6.307413309
2013,AN,Gammarus,Ep/Om,8.040940603,-19.4901,6.153198375
2011,JA,Gammarus,Ep/Om,10.38181462,-18.81253846,10.61837427
2012,JA,Gammarus,Ep/Om,9.398856195,-24.1761,7.762292946
2012,JA,Gammarus,Ep/Om,10.51074042,-22.82353846,5.776239442
2013,JA,Gammarus,Ep/Om,9.6685,-20.684,5.633924568
2012,NU,Gammarus,Ep/Om,7.8,-16.53,
2012,NU,Gammarus,Ep/Om,9.85,-19.17,
2011,NU,Gammarus,Ep/Om,8.25019495,-20.47353846,5.354466998
2013,KA,Gavia,Ep/Om,16.253,-18.098,4.689104571
2012,AN,Halicryptus,Ss/De,11.57912832,-21.1931,5.73641065
2012,AN,Halicryptus,Ss/De,11.70898644,-21.8661,5.624715351
2013,AN,Halicryptus,Ss/De,13.959,-17.313,4.822559073
2012,JA,Halicryptus,Ss/De,11.30817969,-19.1841,5.045883595
2012,JA,Halicryptus,Ss/De,14.28990091,-18.4791,4.660301479
2012,JA,Halicryptus,Ss/De,12.02181842,-19.342,5.113546277
2011,JA,Halicryptus,Ss/De,9.786943739,-21.3141,4.72153719
2012,NU,Halicryptus,Ss/De,11.36,-19.47,
2011,JA,Liocyma,Su/FF,7.473226987,-23.35353846,6.097053873
2012,JA,Liocyma,Su/FF,7.232,-23.566,5.928607595
2012,JA,Liocyma,Su/FF,8.197666667,-21.681,5.38865792
2013,JA,Liocyma,Su/FF,8.1,-22.705,5.035587189
2013,JA,Liocyma,Su/FF,8.616,-22.886,5.603946765
2013,JA,Liocyma,Su/FF,7.701,-22.484,5.176884422
2011,KA,Liocyma,Su/FF,8.984650679,-22.7821,6.303233498
2012,KA,Liocyma,Su/FF,8.842,-23.249,5.253630705
2012,KA,Liocyma,Su/FF,9.412047859,-21.96025,4.965638055
2013,KA,Liocyma,Su/FF,8.548666667,-22.334,4.834399445
2013,KA,Liocyma,Su/FF,9.733,-23.363,5.393524852
2013,KA,Liocyma,Su/FF,9.023,-20.397,6.048275862
2013,KA,Liocyma,Su/FF,9.935,-23.036,5.25577812
2013,KA,Liocyma,Su/FF,10.132,-20.032,6.616083009
2013,KA,Liocyma,Su/FF,10.08,-23.449,4.840165822
2013,KA,Liocyma,Su/FF,9.92,-24.07,5.555952381
2012,AN,Lumpenus,Fish,12.1366124,-24.05753846,4.69906498
2012,JA,Lumpenus,Fish,11.65926853,-24.9531,5.104555514
2012,JA,Lumpenus,Fish,11.262674,-24.6291,4.829301475
2013,JA,Lumpenus,Fish,12.287,-20.711,4.916755984
2013,JA,Lumpenus,Fish,11.2855,-24.1,4.774794388
2011,KA,Lumpenus,Fish,11.64776097,-22.56212071,4.389187858
2013,KA,Lumpenus,Fish,12.72865004,-23.79853846,4.438124892
2013,KA,Lumpenus,Fish,12.19809301,-24.29353846,4.754918958
2013,KA,Lumpenus,Fish,12.723,-24.744,4.593695271
2013,KA,Lumpenus,Fish,11.426,-25.147,5.186259061
