Genus,Label.MPB,x,y,size
Alcyonidium,MPB,-14.9,6.1,3
Boreogadus (Lagoon),MPB,-15,9,3
Calanus,MPB,-14.9,6.1,3
Cylichna,MPB,-14.9,6.1,3
Eucratea,MPB,-14.9,6.1,3
Gammarus,MPB,-14.9,6.1,3
Halicryptus,MPB,-14.9,6.1,3
Liocyma,MPB,-14.9,6.1,3
Lumpenus,MPB,-15,9,3
Myoxocephalus (Lagoon),MPB,-15,9,3
Myoxocephalus (Shelf),MPB,-15,9,3
Mysis,MPB,-14.9,6.1,3
Mysis-NU,MPB,-14.9,6.1,3
Nereimyra,MPB,-14.9,6.1,3
Onisimus,MPB,-14.9,6.1,3
Pleuronectes,MPB,-15,9,3
Pontoporeia ,MPB,-14.9,6.1,3
Portlandia ,MPB,-14.9,6.1,3
Priapulus,MPB,-14.9,6.1,3
Saduria,MPB,-14.9,6.1,3
Salvelinus,MPB,-15,9,3
Terebellides,MPB,-14.9,6.1,3
