Genus,xmin,xmax,ymin,ymax
Alcyonidium,-18.1,-13.7,7.6,12
Boreogadus (Lagoon),-18.1,-11.7,10,16.4
Calanus,-18.1,-13.7,7.6,12
Cylichna,-18.1,-13.7,7.6,12
Eucratea,-18.1,-13.7,7.6,12
Gammarus,-18.1,-13.7,7.6,12
Halicryptus,-18.1,-13.7,7.6,12
Liocyma,-18.1,-13.7,7.6,12
Lumpenus,-18.1,-11.7,10,16.4
Myoxocephalus (Lagoon),-18.1,-11.7,10,16.4
Myoxocephalus (Shelf),-18.1,-11.7,10,16.4
Mysis,-18.1,-13.7,7.6,12
Mysis-NU,-18.1,-13.7,7.6,12
Nereimyra,-18.1,-13.7,7.6,12
Onisimus,-18.1,-13.7,7.6,12
Pleuronectes,-18.1,-11.7,10,16.4
Pontoporeia ,-18.1,-13.7,7.6,12
Portlandia ,-18.1,-13.7,7.6,12
Priapulus,-18.1,-13.7,7.6,12
Saduria,-18.1,-13.7,7.6,12
Salvelinus,-18.1,-11.7,10,16.4
Terebellides,-18.1,-13.7,7.6,12
