Genus,Label.Terrestrial,x,y
Alcyonidium,Terrestrial OM,-25,3.9
Boreogadus (Lagoon),Terrestrial OM,-25,5.9
Calanus,Terrestrial OM,-25,3.9
Cylichna,Terrestrial OM,-25,3.9
Eucratea,Terrestrial OM,-25,3.9
Gammarus,Terrestrial OM,-25,3.9
Halicryptus,Terrestrial OM,-25,3.9
Liocyma,Terrestrial OM,-25,3.9
Lumpenus,Terrestrial OM,-25,5.9
Myoxocephalus (Lagoon),Terrestrial OM,-25,5.9
Myoxocephalus (Shelf),Terrestrial OM,-25,5.9
Mysis,Terrestrial OM,-25,3.9
Mysis-NU,Terrestrial OM,-25,3.9
Nereimyra,Terrestrial OM,-25,3.9
Onisimus,Terrestrial OM,-25,3.9
Pleuronectes,Terrestrial OM,-25,5.9
Pontoporeia ,Terrestrial OM,-25,3.9
Portlandia ,Terrestrial OM,-25,3.9
Priapulus,Terrestrial OM,-25,3.9
Saduria,Terrestrial OM,-25,3.9
Salvelinus,Terrestrial OM,-25,5.9
Terebellides,Terrestrial OM,-25,3.9
