Genus,xmin,xmax,ymin,ymax
Alcyonidium,-28.8,-23.8,4.7,10.5
Boreogadus (Lagoon),-28.8,-21.8,7.1,14.9
Calanus,-28.8,-23.8,4.7,10.5
Cylichna,-28.8,-23.8,4.7,10.5
Eucratea,-28.8,-23.8,4.7,10.5
Gammarus,-28.8,-23.8,4.7,10.5
Halicryptus,-28.8,-23.8,4.7,10.5
Liocyma,-28.8,-23.8,4.7,10.5
Lumpenus,-28.8,-21.8,7.1,14.9
Myoxocephalus (Lagoon),-28.8,-21.8,7.1,14.9
Myoxocephalus (Shelf),-28.8,-21.8,7.1,14.9
Mysis,-28.8,-23.8,4.7,10.5
Mysis-NU,-28.8,-23.8,4.7,10.5
Nereimyra,-28.8,-23.8,4.7,10.5
Onisimus,-28.8,-23.8,4.7,10.5
Pleuronectes,-28.8,-21.8,7.1,14.9
Pontoporeia ,-28.8,-23.8,4.7,10.5
Portlandia ,-28.8,-23.8,4.7,10.5
Priapulus,-28.8,-23.8,4.7,10.5
Saduria,-28.8,-23.8,4.7,10.5
Salvelinus,-28.8,-21.8,7.1,14.9
Terebellides,-28.8,-23.8,4.7,10.5
